multiplier,growth,n,one,split,d_wei,rel,exact
2000000000000000000000000000,0.1,1000,1210000000000000012212453271,1210000000000000012212453004,-267,-2.20661e-25,1210000000000000012212453270.8767
2000000000000000000000000000,0.1,8760,1210000000000000012212453271,1210000000000000012212454093,822,6.79339e-25,1210000000000000012212453270.8767
2000000000000000000000000000,0.1,30000,1210000000000000012212453271,1210000000000000012212462611,9340,7.71901e-24,1210000000000000012212453270.8767
2000000000000000000000000000,0.25,1,1562500000000000000000000000,1562500000000000000000000000,0,0.0,1562500000000000000000000000.0
2000000000000000000000000000,0.25,2,1562500000000000000000000000,1562500000000000000000000000,0,0.0,1562500000000000000000000000.0
2000000000000000000000000000,0.25,10,1562500000000000000000000000,1562500000000000000000000005,5,3.2e-27,1562500000000000000000000000.0
2000000000000000000000000000,0.25,100,1562500000000000000000000000,1562499999999999999999999951,-49,-3.136e-26,1562500000000000000000000000.0
2000000000000000000000000000,0.25,1000,1562500000000000000000000000,1562499999999999999999999380,-620,-3.968e-25,1562500000000000000000000000.0
2000000000000000000000000000,0.25,8760,1562500000000000000000000000,1562500000000000000000004546,4546,2.90944e-24,1562500000000000000000000000.0
2000000000000000000000000000,0.25,30000,1562500000000000000000000000,1562500000000000000000009875,9875,6.32e-24,1562500000000000000000000000.0
2000000000000000000000000000,0.5,1,2250000000000000000000000000,2250000000000000000000000000,0,0.0,2250000000000000000000000000.0
2000000000000000000000000000,0.5,2,2250000000000000000000000000,2250000000000000000000000001,1,4.44444e-28,2250000000000000000000000000.0
2000000000000000000000000000,0.5,10,2250000000000000000000000000,2250000000000000000000000000,0,0.0,2250000000000000000000000000.0
2000000000000000000000000000,0.5,100,2250000000000000000000000000,2250000000000000000000000079,79,3.51111e-26,2250000000000000000000000000.0
2000000000000000000000000000,0.5,1000,2250000000000000000000000000,2249999999999999999999999797,-203,-9.02222e-26,2250000000000000000000000000.0
2000000000000000000000000000,0.5,8760,2250000000000000000000000000,2249999999999999999999990714,-9286,-4.12711e-24,2250000000000000000000000000.0
2000000000000000000000000000,0.5,30000,2250000000000000000000000000,2250000000000000000000010497,10497,4.66533e-24,2250000000000000000000000000.0
1250000000000000000000000000,0.01,1,1012515586107464331409196405,1012515586107464331409196405,0,0.0,1012515586107464331409196407.6169
1250000000000000000000000000,0.01,2,1012515586107464331409196405,1012515586107464331409196400,-5,-4.9382e-27,1012515586107464331409196407.6169
1250000000000000000000000000,0.01,10,1012515586107464331409196405,1012515586107464331409196377,-28,-2.76539e-26,1012515586107464331409196407.6169
1250000000000000000000000000,0.01,100,1012515586107464331409196405,1012515586107464331409196146,-259,-2.55799e-25,1012515586107464331409196407.6169
1250000000000000000000000000,0.01,1000,1012515586107464331409196405,1012515586107464331409193396,-3009,-2.97181e-24,1012515586107464331409196407.6169
1250000000000000000000000000,0.01,8760,1012515586107464331409196405,1012515586107464331409175168,-21237,-2.09745e-23,1012515586107464331409196407.6169
1250000000000000000000000000,0.01,30000,1012515586107464331409196405,1012515586107464331409155995,-40410,-3.99105e-23,1012515586107464331409196407.6169
1250000000000000000000000000,0.05,1,1062885846150491237792451904,1062885846150491237792451904,0,0.0,1062885846150491237792451910.7993
1250000000000000000000000000,0.05,2,1062885846150491237792451904,1062885846150491237792451900,-4,-3.76334e-27,1062885846150491237792451910.7993
1250000000000000000000000000,0.05,10,1062885846150491237792451904,1062885846150491237792451895,-9,-8.46751e-27,1062885846150491237792451910.7993
1250000000000000000000000000,0.05,100,1062885846150491237792451904,1062885846150491237792451667,-237,-2.22978e-25,1062885846150491237792451910.7993
1250000000000000000000000000,0.05,1000,1062885846150491237792451904,1062885846150491237792449610,-2294,-2.15828e-24,1062885846150491237792451910.7993
1250000000000000000000000000,0.05,8760,1062885846150491237792451904,1062885846150491237792437882,-14022,-1.31924e-23,1062885846150491237792451910.7993
1250000000000000000000000000,0.05,30000,1062885846150491237792451904,1062885846150491237792405861,-46043,-4.33189e-23,1062885846150491237792451910.7993
1250000000000000000000000000,0.1,1,1126525057992889649450775682,1126525057992889649450775682,0,0.0,1126525057992889649450775690.1213
1250000000000000000000000000,0.1,2,1126525057992889649450775682,1126525057992889649450775678,-4,-3.55074e-27,1126525057992889649450775690.1213
1250000000000000000000000000,0.1,10,1126525057992889649450775682,1126525057992889649450775623,-59,-5.23734e-26,1126525057992889649450775690.1213
1250000000000000000000000000,0.1,100,1126525057992889649450775682,1126525057992889649450775353,-329,-2.92049e-25,1126525057992889649450775690.1213
1250000000000000000000000000,0.1,1000,1126525057992889649450775682,1126525057992889649450773557,-2125,-1.88633e-24,1126525057992889649450775690.1213
1250000000000000000000000000,0.1,8760,1126525057992889649450775682,1126525057992889649450753853,-21829,-1.93773e-23,1126525057992889649450775690.1213
1250000000000000000000000000,0.1,30000,1126525057992889649450775682,1126525057992889649450737944,-37738,-3.34995e-23,1126525057992889649450775690.1213
1250000000000000000000000000,0.25,1,1321714079300705149418796239,1321714079300705149418796239,0,0.0,1321714079300705149418796250.0358
1250000000000000000000000000,0.25,2,1321714079300705149418796239,1321714079300705149418796235,-4,-3.02637e-27,1321714079300705149418796250.0358
1250000000000000000000000000,0.25,10,1321714079300705149418796239,1321714079300705149418796191,-48,-3.63165e-26,1321714079300705149418796250.0358
1250000000000000000000000000,0.25,100,1321714079300705149418796239,1321714079300705149418795823,-416,-3.14743e-25,1321714079300705149418796250.0358
1250000000000000000000000000,0.25,1000,1321714079300705149418796239,1321714079300705149418791761,-4478,-3.38802e-24,1321714079300705149418796250.0358
1250000000000000000000000000,0.25,8760,1321714079300705149418796239,1321714079300705149418774815,-21424,-1.62093e-23,1321714079300705149418796250.0358
1250000000000000000000000000,0.25,30000,1321714079300705149418796239,1321714079300705149418703426,-92813,-7.02217e-23,1321714079300705149418796250.0358
1250000000000000000000000000,0.5,1,1660022879550482388613185393,1660022879550482388613185393,0,0.0,1660022879550482388613185410.1605
1250000000000000000000000000,0.5,2,1660022879550482388613185393,1660022879550482388613185380,-13,-7.83122e-27,1660022879550482388613185410.1605
1250000000000000000000000000,0.5,10,1660022879550482388613185393,1660022879550482388613185310,-83,-4.99993e-26,1660022879550482388613185410.1605
1250000000000000000000000000,0.5,100,1660022879550482388613185393,1660022879550482388613184786,-607,-3.65658e-25,1660022879550482388613185410.1605
1250000000000000000000000000,0.5,1000,1660022879550482388613185393,1660022879550482388613179820,-5573,-3.35718e-24,1660022879550482388613185410.1605
1250000000000000000000000000,0.5,8760,1660022879550482388613185393,1660022879550482388613158062,-27331,-1.64642e-23,1660022879550482388613185410.1605
1250000000000000000000000000,0.5,30000,1660022879550482388613185393,1660022879550482388612994618,-190775,-1.14923e-22,1660022879550482388613185410.1605
1999000000000000000000000000,0.01,1,1020089849717996099502365468,1020089849717996099502365468,0,0.0,1020089849717996099502365474.2826
1999000000000000000000000000,0.01,2,1020089849717996099502365468,1020089849717996099502365460,-8,-7.84245e-27,1020089849717996099502365474.2826
1999000000000000000000000000,0.01,10,1020089849717996099502365468,1020089849717996099502365387,-81,-7.94048e-26,1020089849717996099502365474.2826
1999000000000000000000000000,0.01,100,1020089849717996099502365468,1020089849717996099502364962,-506,-4.96035e-25,1020089849717996099502365474.2826
1999000000000000000000000000,0.01,1000,1020089849717996099502365468,1020089849717996099502358907,-6561,-6.43179e-24,1020089849717996099502365474.2826
1999000000000000000000000000,0.01,8760,1020089849717996099502365468,1020089849717996099502354782,-10686,-1.04755e-23,1020089849717996099502365474.2826
1999000000000000000000000000,0.01,30000,1020089849717996099502365468,1020089849717996099502274365,-91103,-8.93088e-23,1020089849717996099502365474.2826
1999000000000000000000000000,0.05,1,1102446210156221531813162427,1102446210156221531813162427,0,0.0,1102446210156221531813162445.4387
1999000000000000000000000000,0.05,2,1102446210156221531813162427,1102446210156221531813162427,0,0.0,1102446210156221531813162445.4387
1999000000000000000000000000,0.05,10,1102446210156221531813162427,1102446210156221531813162389,-38,-3.44688e-26,1102446210156221531813162445.4387
